Predictor,Coefficient,p-value,95% CI Lower,95% CI Upper
Intercept,8.46679745746959,9.718053728193467e-50,7.404885318583532,9.52870959635565
C(gender_group)[T.Male],-0.3661640705737141,0.027197499799452473,-0.6910157120480491,-0.0413124290993791
C(gender_group)[T.Other],-1.531787033421152,0.15456188383885044,-3.6416119919828898,0.5780379251405856
C(education_group)[T.College degree],-0.19778485496524356,0.3917452706891193,-0.6507432400929567,0.2551735301624696
C(education_group)[T.Some college or less],-0.2327815679183282,0.37631839228319347,-0.7488627590401404,0.28329962320348395
C(employment_group)[T.Working],-0.3814260879345483,0.07626399386113723,-0.8031948660137954,0.04034269014469882
C(income_group)[T.50k to 99k],-0.16365752573653564,0.5132279298985681,-0.6546561955186507,0.3273411440455794
C(income_group)[T.Less than 50k],0.008660924808317927,0.9731143162368613,-0.49547499846020604,0.5127968480768419
C(ideo_group)[T.Liberal],0.807447666769506,0.0007080397273114354,0.3409751613130734,1.2739201722259386
C(ideo_group)[T.Moderate],0.46784231076220095,0.09386177585774069,-0.079607605877277,1.015292227401679
C(party_group)[T.Other or independent],-0.17515942619784655,0.4088279122897208,-0.591119357866042,0.24080050547034884
C(party_group)[T.Republican],0.12761937690208486,0.6426264641726234,-0.4118853190933755,0.6671240728975452
C(marital_group)[T.Not married],-0.04067368003644145,0.8177402697524955,-0.3869107046558292,0.3055633445829463
age,0.02223059736821642,0.00150712297044313,0.00852051473628178,0.03594068000015106
