education,gender,byear,employment,hhinc,pol_ideo,pol_pident,marr_status,soc_dist6,soc_dist7,age,mask_binary,iso_binary,gender_group,education_group,income_group,ideo_group,party_group,employment_group,marital_group
4-year degree,Female,1990.0,"Unemployed, looking for work","$70,000 - $79,999",Liberal,"Independent, but lean Democrat",Married or in a domestic partnership,11.0,11.0,30.0,1,1,Female,College degree,50k to 99k,Liberal,Other or independent,Not working,Married
Doctorate,Male,1996.0,Employed full-time in an organization,"$125,000 or more",Extremely conservative,Republican,"Single, never married",11.0,11.0,24.0,1,1,Male,Advanced degree,100k+,Conservative,Republican,Working,Not married
4-year degree,Male,1990.0,Employed full-time in an organization,"$70,000 - $79,999",Conservative,Republican,Married or in a domestic partnership,9.0,8.0,30.0,1,1,Male,College degree,50k to 99k,Conservative,Republican,Working,Married
2-year degree,Female,1973.0,Employed full-time in an organization,"$40,000 - $49,999",Moderate; middle of the road,Independent with no party preference,Divorced,9.0,6.0,47.0,1,1,Female,College degree,Less than 50k,Moderate,Other or independent,Working,Not married
4-year degree,Male,1993.0,Employed full-time in an organization,"$20,000 - $29,999",Extremely conservative,Republican,"Single, never married",6.0,7.0,27.0,1,1,Male,College degree,Less than 50k,Conservative,Republican,Working,Not married
Some college,Male,1987.0,Currently unable to work,"$10,000 - $19,999",Liberal,"Independent, but lean Democrat","Single, never married",11.0,11.0,33.0,1,1,Male,Some college or less,Less than 50k,Liberal,Other or independent,Not working,Not married
Some college,Male,1969.0,Employed full-time in an organization,"$30,000 - $39,999",Liberal,Democrat,"Single, never married",11.0,1.0,51.0,0,1,Male,Some college or less,Less than 50k,Liberal,Democrat,Working,Not married
4-year degree,Female,1969.0,Employed full-time in an organization,"$125,000 or more",Conservative,Republican,Married or in a domestic partnership,11.0,11.0,51.0,1,1,Female,College degree,100k+,Conservative,Republican,Working,Married
Professional degree,Male,1985.0,"Unemployed, looking for work","$20,000 - $29,999",Slightly conservative,Independent with no party preference,"Single, never married",11.0,10.0,35.0,1,1,Male,Advanced degree,Less than 50k,Conservative,Other or independent,Not working,Not married
4-year degree,Male,1996.0,Employed full-time in an organization,"$40,000 - $49,999",Slightly liberal,Republican,Married or in a domestic partnership,8.0,8.0,24.0,1,1,Male,College degree,Less than 50k,Liberal,Republican,Working,Married
High school graduate,Male,1990.0,Employed part-time in an organization,"$10,000 - $19,999",Liberal,Democrat,"Single, never married",10.0,10.0,30.0,1,1,Male,Some college or less,Less than 50k,Liberal,Democrat,Working,Not married
2-year degree,Male,1994.0,Employed full-time in an organization,"$50,000 - $59,999",Slightly conservative,"Independent, but lean Republican","Single, never married",9.0,7.0,26.0,1,1,Male,College degree,50k to 99k,Conservative,Other or independent,Working,Not married
Some college,Male,1978.0,Employed full-time in an organization,"$30,000 - $39,999",Conservative,"Independent, but lean Democrat",Married or in a domestic partnership,11.0,11.0,42.0,1,1,Male,Some college or less,Less than 50k,Conservative,Other or independent,Working,Married
4-year degree,Female,1970.0,Employed full-time in an organization,"$60,000 - $69,999",Conservative,Democrat,Married or in a domestic partnership,8.0,8.0,50.0,1,1,Female,College degree,50k to 99k,Conservative,Democrat,Working,Married
4-year degree,Female,1990.0,Employed full-time in an organization,"$60,000 - $69,999",Conservative,Democrat,Married or in a domestic partnership,7.0,7.0,30.0,1,1,Female,College degree,50k to 99k,Conservative,Democrat,Working,Married
4-year degree,Female,1973.0,Employed full-time in an organization,"$50,000 - $59,999",Conservative,Democrat,Married or in a domestic partnership,7.0,7.0,47.0,1,1,Female,College degree,50k to 99k,Conservative,Democrat,Working,Married
4-year degree,Male,1987.0,Employed full-time in an organization,"$20,000 - $29,999",Conservative,Republican,"Single, never married",10.0,7.0,33.0,1,1,Male,College degree,Less than 50k,Conservative,Republican,Working,Not married
2-year degree,Male,1960.0,Employed full-time in an organization,"$60,000 - $69,999",Liberal,Democrat,Widowed,8.0,11.0,60.0,1,1,Male,College degree,50k to 99k,Liberal,Democrat,Working,Not married
Some college,Male,1995.0,Self-employed,"$70,000 - $79,999",Slightly conservative,Democrat,Separated,3.0,7.0,25.0,1,0,Male,Some college or less,50k to 99k,Conservative,Democrat,Working,Not married
Some college,Male,1983.0,Currently unable to work,"$10,000 - $19,999",Conservative,Republican,"Single, never married",9.0,10.0,37.0,1,1,Male,Some college or less,Less than 50k,Conservative,Republican,Not working,Not married
